"time_id","the_date","the_day","the_month","the_year","day_of_month","week_of_year","month_of_year","quarter","fiscal_period"
"738","1998-01-07 00:00:00","Wednesday","January","1998","7","4","1","Q1",\N
"739","1998-01-08 00:00:00","Thursday","January","1998","8","4","1","Q1",\N
"740","1998-01-09 00:00:00","Friday","January","1998","9","4","1","Q1",\N
"741","1998-01-10 00:00:00","Saturday","January","1998","10","4","1","Q1",\N
"742","1998-01-11 00:00:00","Sunday","January","1998","11","5","1","Q1",\N
"743","1998-01-12 00:00:00","Monday","January","1998","12","5","1","Q1",\N
"744","1998-01-13 00:00:00","Tuesday","January","1998","13","5","1","Q1",\N
"745","1998-01-14 00:00:00","Wednesday","January","1998","14","5","1","Q1",\N
"746","1998-01-15 00:00:00","Thursday","January","1998","15","5","1","Q1",\N
"747","1998-01-16 00:00:00","Friday","January","1998","16","5","1","Q1",\N
"748","1998-01-17 00:00:00","Saturday","January","1998","17","5","1","Q1",\N
"749","1998-01-18 00:00:00","Sunday","January","1998","18","6","1","Q1",\N
"750","1998-01-19 00:00:00","Monday","January","1998","19","6","1","Q1",\N
"751","1998-01-20 00:00:00","Tuesday","January","1998","20","6","1","Q1",\N
"752","1998-01-21 00:00:00","Wednesday","January","1998","21","6","1","Q1",\N
"753","1998-01-22 00:00:00","Thursday","January","1998","22","6","1","Q1",\N
"754","1998-01-23 00:00:00","Friday","January","1998","23","6","1","Q1",\N
"755","1998-01-24 00:00:00","Saturday","January","1998","24","6","1","Q1",\N
"756","1998-01-25 00:00:00","Sunday","January","1998","25","7","1","Q1",\N
"757","1998-01-26 00:00:00","Monday","January","1998","26","7","1","Q1",\N
"758","1998-01-27 00:00:00","Tuesday","January","1998","27","7","1","Q1",\N
"759","1998-01-28 00:00:00","Wednesday","January","1998","28","7","1","Q1",\N
"760","1998-01-29 00:00:00","Thursday","January","1998","29","7","1","Q1",\N
"761","1998-01-30 00:00:00","Friday","January","1998","30","7","1","Q1",\N
"762","1998-01-31 00:00:00","Saturday","January","1998","31","7","1","Q1",\N
"763","1998-02-01 00:00:00","Sunday","February","1998","1","8","2","Q1",\N
"764","1998-02-02 00:00:00","Monday","February","1998","2","8","2","Q1",\N
"765","1998-02-03 00:00:00","Tuesday","February","1998","3","8","2","Q1",\N
"766","1998-02-04 00:00:00","Wednesday","February","1998","4","8","2","Q1",\N
"767","1998-02-05 00:00:00","Thursday","February","1998","5","8","2","Q1",\N
"768","1998-02-06 00:00:00","Friday","February","1998","6","8","2","Q1",\N
"769","1998-02-07 00:00:00","Saturday","February","1998","7","8","2","Q1",\N
"770","1998-02-08 00:00:00","Sunday","February","1998","8","9","2","Q1",\N
"771","1998-02-09 00:00:00","Monday","February","1998","9","9","2","Q1",\N
"772","1998-02-10 00:00:00","Tuesday","February","1998","10","9","2","Q1",\N
"773","1998-02-11 00:00:00","Wednesday","February","1998","11","9","2","Q1",\N
"774","1998-02-12 00:00:00","Thursday","February","1998","12","9","2","Q1",\N
"775","1998-02-13 00:00:00","Friday","February","1998","13","9","2","Q1",\N
"776","1998-02-14 00:00:00","Saturday","February","1998","14","9","2","Q1",\N
"777","1998-02-15 00:00:00","Sunday","February","1998","15","10","2","Q1",\N
"778","1998-02-16 00:00:00","Monday","February","1998","16","10","2","Q1",\N
"779","1998-02-17 00:00:00","Tuesday","February","1998","17","10","2","Q1",\N
"780","1998-02-18 00:00:00","Wednesday","February","1998","18","10","2","Q1",\N
"781","1998-02-19 00:00:00","Thursday","February","1998","19","10","2","Q1",\N
